,name,mTurkID,subID,drive_name,drive_index,time,SurveyPage_Question1,SurveyPage_Question2,SurveyPage_Question3,SurveyPage_Question4,SurveyPage_Question5,SurveyPage_Question6,SurveyPage_Question7,SurveyPage_Question8,SurveyPage_Question9,SurveyPage_Question10,SurveyPage_Question11,SurveyPage_Question12,SurveyPage_Question13,SurveyPage_Question14,SurveyPage_Question16,SurveyPage_Question15
17,['value'],[' p286'],['194'],['4300'],['2'],['Fri Feb 10 2023 21:23:11 GMT-0500 (Eastern Standard Time)'],['Blue'],['Scooter'],['36-45'],['Male'],['Medicine'],['Associate degree'],['2'],['0'],['0'],['0'],['1'],['3'],['none'],['2'],['Yes'],['Thank you for the survey. Please consider me for additional surveys.']
18,['value'],[' p51'],['72'],['1400'],['2'],['Mon Jan 30 2023 18:52:08 GMT-0500 (Eastern Standard Time)'],['Green'],['Scooter'],[' 56'],['Male'],['Technology'],['Associate degree'],['1'],['1'],['1'],['2'],['1'],['6'],['none'],,['Yes'],['Good Study']
19,['value'],[' p49'],['70'],['4310'],['2'],['Mon Jan 30 2023 15:51:38 GMT-0800 (Pacific Standard Time)'],['Orange'],['self Driving scooter'],['26-35'],['Female'],['Medicine'],"[""Master's_degree (e.g. MA; MS; MEd)""]",['1'],['1'],['1'],['1'],['4'],['5'],['none'],['4'],['Yes'],
20,['value'],[' p32'],['230'],['4310'],['2'],['Wed Feb 15 2023 18:24:24 GMT-0600 (Central Standard Time)'],['Orange'],['autonomous sidewalk mobility vehicle'],['36-45'],['Male'],['Technology'],"[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['0'],['0'],['1'],['1'],['5'],['Electricscooter'],['6'],['Yes'],['N/A -- Thanks!']
21,['value'],[' p99'],['87'],['2111'],['2'],['Tue Jan 31 2023 10:24:10 GMT-0800 (Pacific Standard Time)'],['Orange'],['An autonomous scooter'],['18-25'],['Male'],['Medicine'],"[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['2'],['2'],"['1', '2', '4', '5']",['6'],['Electricscooter'],['5'],['Yes'],
22,['value'],[' p236'],['68'],['4310'],['2'],['Mon Jan 30 2023 15:50:48 GMT-0800 (Pacific Standard Time)'],['Orange'],['self driving scooter'],['26-35'],['Female'],['Liberal Arts'],"[""Master's_degree (e.g. MA; MS; MEd)""]",['0'],['0'],['1'],['0'],['0'],['4'],['none'],['4'],['Yes'],
23,['value'],[' p91'],['69'],['4311'],['2'],['Mon Jan 30 2023 18:51:25 GMT-0500 (Eastern Standard Time)'],['Orange'],['Scooter'],['46-55'],['Male'],['Liberal Arts'],"[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['2'],['0'],"['2', '4']",['4'],['none'],,['Yes'],"[""What I did not like was me wanting to brake and stop for STOP signs and intersections and it didn't.  I would never run a STOP sign while driving a car; riding a bike or walking. A car can come from seemingly nowhere.  ""]"
24,['value'],[' p223'],['279'],['2111'],['2'],['Wed Feb 15 2023 19:25:18 GMT-0500 (Eastern Standard Time)'],['Orange'],['Scooter'],[' 56'],['Male'],"['Other', 'Healthcare']","[""Master's_degree (e.g. MA; MS; MEd)""]",['1'],['0'],['1'],['1'],['0'],,"['none', 'Other']",,['Yes'],['NA']
25,['value'],[' p30'],['313'],['3201'],['2'],['Wed Feb 15 2023 18:29:12 GMT-0600 (Central Standard Time)'],['Orange'],['Scooter'],['36-45'],['Male'],"['Other', 'Retail']",['High_school_degree_or_equivalent'],['1'],['1'],['1'],['1'],['0'],,['none'],,['Yes'],['Some people are colorblind or are like me and have ADHD and have trouble recalling specific details; so asking the color of the delivery robot may get mixed results. ']
26,['value'],[' p306'],['84'],['2110'],['2'],['Tue Jan 31 2023 12:24:09 GMT-0600 (Central Standard Time)'],['Green'],['scooter'],['26-35'],['Male'],['Agriculture'],['High_school_degree_or_equivalent'],['1'],['0'],['1'],['2'],['1'],['4'],['Segway'],['4'],['Yes'],['Thank you.']
