name,value
mTurkID, p44
subID,303
drive_name,tutorial
drive_index,0
time_date,Wed Feb 15 2023 18:26:12 GMT-0600 (Central Standard Time)
Page_6_tutorial_Question_Intersection_0_Intention_radio,1
Page_6_tutorial_Question_Intersection_0_trust_radio,5
Page_6_tutorial_Question_Intersection_0_reliable_radio,5
Page_6_tutorial_Question_Intersection_0_positive relation_radio,5
