name,value
mTurkID, p33
subID,36
drive_name,tutorial
drive_index,0
time_date,Mon Jan 30 2023 18:29:55 GMT-0500 (Eastern Standard Time)
Page_6_tutorial_Question_Intersection_0_Intention_radio,1
Page_6_tutorial_Question_Intersection_0_trust_radio,6
Page_6_tutorial_Question_Intersection_0_reliable_radio,6
Page_6_tutorial_Question_Intersection_0_positive relation_radio,6
