name,value
mTurkID, p136
subID,252
drive_name,3210
drive_index,2
time_date,Wed Feb 15 2023 18:24:58 GMT-0600 (Central Standard Time)
Page_15_SurveyPage_Question1_radio,Blue
Page_15_SurveyPage_Question2_text,A little mini scooter robot
Page_15_SurveyPage_Question3_radio,18-25
Page_15_SurveyPage_Question4_radio,Other
Page_15_SurveyPage_Question4_text,non binary
Page_15_SurveyPage_Question5_radio,Technology
Page_15_SurveyPage_Question6_radio,High_school_degree_or_equivalent
Page_15_SurveyPage_Question7_radio,2
Page_15_SurveyPage_Question8_radio,1
Page_15_SurveyPage_Question9_radio,1
Page_15_SurveyPage_Question10_radio,2
Page_15_SurveyPage_Question11_checkbox,3
Page_15_SurveyPage_Question12_radio,6
Page_15_SurveyPage_Question13_checkbox,Electricscooter
Page_15_SurveyPage_Question14_radio,6
Page_15_SurveyPage_Question15_textarea,Interesting study; thanks!
Page_15_SurveyPage_Question16_radio,Yes
