name,value
mTurkID, p11
subID,53
drive_name,2111
drive_index,2
time_date,Mon Jan 30 2023 18:41:29 GMT-0500 (Eastern Standard Time)
Page_15_SurveyPage_Question1_radio,Orange
Page_15_SurveyPage_Question2_text,Autonomous Sidewalk Something
Page_15_SurveyPage_Question3_radio,26-35
Page_15_SurveyPage_Question4_radio,Female
Page_15_SurveyPage_Question5_radio,Education
Page_15_SurveyPage_Question5_text,Social Work
Page_15_SurveyPage_Question6_radio,Bachelor's_degree(e.g. BA; BS)
Page_15_SurveyPage_Question7_radio,1
Page_15_SurveyPage_Question8_radio,1
Page_15_SurveyPage_Question9_radio,1
Page_15_SurveyPage_Question10_radio,0
Page_15_SurveyPage_Question11_checkbox,0
Page_15_SurveyPage_Question12_radio,4
Page_15_SurveyPage_Question13_checkbox,none
Page_15_SurveyPage_Question14_radio,4
Page_15_SurveyPage_Question15_textarea,There were a few typos/tense inconsistencies in the words in the study. In the very first video that introduced how it would work; when there were circles showing pedestrians; delivery robots and cars; there were not actually any of those things in the circles.
Page_15_SurveyPage_Question16_radio,Yes
