name,value
mTurkID, p226
subID,59
drive_name,tutorial
drive_index,0
time_date,Mon Jan 30 2023 17:44:13 GMT-0600 (Central Standard Time)
Page_6_tutorial_Question_Intersection_0_Intention_radio,0
Page_6_tutorial_Question_Intersection_0_trust_radio,2
Page_6_tutorial_Question_Intersection_0_reliable_radio,4
Page_6_tutorial_Question_Intersection_0_positive relation_radio,4
