sys_timestamp,event_timestamp,event_name,pause_num
1676080667902,284003,web_survey/CommitmentCheck_completed,7
1676080670729,286829.30000000075,mainexperimentintro_done,7
1676080670730,286829.30000000075,[object PointerEvent],0
1676080675032,291132.5999999996,video_preload_completed,0
1676080695535,311635,survey1_start,1
1676080748582,364682.9000000004,survey1_done,1
1676080784987,401087.9000000004,intention_start,2
1676080791059,407160.7000000011,intention_done,2
1676080806197,422298,survey2_start,3
1676080846863,462964.7000000011,survey2_done,3
