name,value
mTurkID, p182
subID,136
drive_name,tutorial
drive_index,0
time_date,Fri Feb 10 2023 20:40:22 GMT-0500 (Eastern Standard Time)
Page_6_tutorial_Question_Intersection_0_Intention_radio,1
Page_6_tutorial_Question_Intersection_0_trust_radio,2
Page_6_tutorial_Question_Intersection_0_reliable_radio,2
Page_6_tutorial_Question_Intersection_0_positive relation_radio,2
