name,value
mTurkID, p144
subID,195
drive_name,tutorial
drive_index,0
time_date,Fri Feb 10 2023 21:23:36 GMT-0500 (Eastern Standard Time)
Page_6_tutorial_Question_Intersection_0_Intention_radio,1
Page_6_tutorial_Question_Intersection_0_trust_radio,3
Page_6_tutorial_Question_Intersection_0_reliable_radio,4
Page_6_tutorial_Question_Intersection_0_positive relation_radio,4
