sys_timestamp,vid_timestamp,event_name,key_number,pause_num,next_pause_vid_ts
1676083260226,6.283708,video_keydown, ,0,-1
1676083260727,6.785178,video_keydown, ,0,-1
1676083260758,6.815776,video_keydown, ,0,-1
1676083260790,6.847074,video_keydown, ,0,-1
1676083260816,6.873591,video_keydown, ,0,-1
1676083260846,6.903795,video_keydown, ,0,-1
1676083260876,6.934053,video_keydown, ,0,-1
1676083260907,6.964566,video_keydown, ,0,-1
1676083260938,6.995512,video_keydown, ,0,-1
1676083260967,7.024409,video_keydown, ,0,-1
1676083260997,7.054157,video_keydown, ,0,-1
1676083261027,7.084594,video_keydown, ,0,-1
1676083261058,7.116123,video_keydown, ,0,-1
1676083261090,7.147993,video_keydown, ,0,-1
1676083261117,7.174869,video_keydown, ,0,-1
1676083261147,7.205062,video_keydown, ,0,-1
1676083261178,7.235843,video_keydown, ,0,-1
1676083261208,7.265879,video_keydown, ,0,-1
1676083261238,7.295559,video_keydown, ,0,-1
1676083261269,7.327247,video_keydown, ,0,-1
1676083261298,7.355944,video_keydown, ,0,-1
1676083261328,7.386277,video_keydown, ,0,-1
1676083261359,7.416644,video_keydown, ,0,-1
1676083261390,7.447989,video_keydown, ,0,-1
1676083261420,7.477498,video_keydown, ,0,-1
1676083261449,7.506501,video_keydown, ,0,-1
1676083261479,7.536739,video_keydown, ,0,-1
1676083261509,7.56695,video_keydown, ,0,-1
1676083261539,7.596886,video_keydown, ,0,-1
1676083261570,7.628047,video_keydown, ,0,-1
1676083261599,7.6567,video_keydown, ,0,-1
1676083261630,7.687666,video_keydown, ,0,-1
1676083261659,7.717216,video_keydown, ,0,-1
1676083261691,7.749239,video_keydown, ,0,-1
1676083261722,7.779725,video_keydown, ,0,-1
1676083261749,7.807028,video_keydown, ,0,-1
1676083261780,7.837507,video_keydown, ,0,-1
1676083261810,7.867368,video_keydown, ,0,-1
1676083261840,7.897964,video_keydown, ,0,-1
1676083261870,7.927562,video_keydown, ,0,-1
1676083261900,7.957294,video_keydown, ,0,-1
1676083261930,7.987817,video_keydown, ,0,-1
1676083261960,8.018072,video_keydown, ,0,-1
1676083261991,8.048522,video_keydown, ,0,-1
1676083262022,8.080006,video_keydown, ,0,-1
1676083262050,8.107863,video_keydown, ,0,-1
1676083262081,8.138465,video_keydown, ,0,-1
1676083262111,8.16924,video_keydown, ,0,-1
1676083262142,8.199456,video_keydown, ,0,-1
1676083262173,8.230625,video_keydown, ,0,-1
1676083262202,8.260054,video_keydown, ,0,-1
1676083262232,8.289772,video_keydown, ,0,-1
1676083262262,8.319907,video_keydown, ,0,-1
1676083262292,8.349879,video_keydown, ,0,-1
1676083262324,8.381432,video_keydown, ,0,-1
1676083262355,8.412504,video_keydown, ,0,-1
1676083262382,8.440239,video_keydown, ,0,-1
1676083262413,8.470515,video_keydown, ,0,-1
1676083262443,8.500687,video_keydown, ,0,-1
1676083262474,8.531477,video_keydown, ,0,-1
1676083262505,8.562933,video_keydown, ,0,-1
1676083262534,8.591332,video_keydown, ,0,-1
1676083262563,8.620917,video_keydown, ,0,-1
1676083262594,8.651273,video_keydown, ,0,-1
1676083262624,8.681879,video_keydown, ,0,-1
1676083262656,8.71427,video_keydown, ,0,-1
1676083262684,8.741467,video_keydown, ,0,-1
1676083262714,8.772208,video_keydown, ,0,-1
1676083262745,8.80245,video_keydown, ,0,-1
1676083262770,8.827988,video_keyup, ,0,-1
1676083341900,30.898062,video_keydown, ,1,-1
1676083342400,31.398355,video_keydown, ,1,-1
1676083342429,31.427307,video_keydown, ,1,-1
1676083342460,31.457435,video_keydown, ,1,-1
1676083342490,31.487407,video_keydown, ,1,-1
1676083342521,31.518971,video_keydown, ,1,-1
1676083342552,31.54984,video_keydown, ,1,-1
1676083342579,31.577354,video_keydown, ,1,-1
1676083342610,31.607827,video_keydown, ,1,-1
1676083342640,31.638327,video_keydown, ,1,-1
1676083342671,31.66839,video_keydown, ,1,-1
1676083342701,31.698731,video_keydown, ,1,-1
1676083342731,31.729177,video_keydown, ,1,-1
1676083342761,31.758449,video_keydown, ,1,-1
1676083342791,31.788502,video_keydown, ,1,-1
1676083342821,31.818492,video_keydown, ,1,-1
