video_name,vid_file,sys_timestamp,vid_ts
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189952430,11.109177
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189952627,11.308397
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189952835,11.508442
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189953040,11.717135
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189953226,11.904715
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189953430,12.111364
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189953633,12.306593
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189953835,12.511149
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189954041,12.721065
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189954226,12.907269
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189954431,13.104414
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189954636,13.313492
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189954837,13.517297
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189955036,13.719008
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189955228,13.901864
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189955431,14.107012
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189955633,14.311324
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189955827,14.50807
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189956038,14.712811
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189956236,14.913504
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189956429,15.107403
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189956629,15.310453
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189956833,15.506738
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189957037,15.714362
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189957236,15.91624
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189957427,16.108352
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189957633,16.306414
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189957837,16.514606
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189958026,16.705156
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189958227,16.908336
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189958432,17.105402
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189958634,17.310044
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189958836,17.516137
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189959026,17.707366
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189959240,17.914853
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189959425,18.101235
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189959629,18.307782
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189959827,18.508488
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189960034,18.707936
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189960238,18.915467
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189960426,19.104776
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189960628,19.309391
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189960832,19.505789
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189961035,19.71097
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189961226,19.904708
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189961427,20.108374
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189961631,20.304592
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189961832,20.508449
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189962035,20.713785
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189962222,20.903552
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189962439,21.113775
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189962626,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189962828,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189963030,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189963234,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189963439,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189963630,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189963833,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189964035,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189964239,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189964427,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189964631,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189964822,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189965026,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189965222,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189965422,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189965623,21
video,blob:https://leia.honda-ri.com/6c6c4e7b-9309-42ed-bd19-c9970ede880e,1675189965826,21
