sys_timestamp,event_timestamp,event_name,pause_num
1675122039887,544183.9000000954,secondexperimentintro_done,3
1675122039888,544183.9000000954,[object PointerEvent],0
1675122048594,552891.9000000954,video_preload_completed,0
1675122066981,571278.7999999523,survey1_start,1
1675122114195,618493.2999999523,survey1_done,1
1675122147152,651450.100000143,intention_start,2
1675122154757,659055.5,intention_done,2
1675122171488,675784.600000143,survey2_start,3
1675122201084,705381.7000000477,survey2_done,3
