name,value
mTurkID, p137
subID,249
drive_name,tutorial
drive_index,0
time_date,Wed Feb 15 2023 16:24:53 GMT-0800 (Pacific Standard Time)
Page_6_tutorial_Question_Intersection_0_Intention_radio,1
Page_6_tutorial_Question_Intersection_0_trust_radio,6
Page_6_tutorial_Question_Intersection_0_reliable_radio,6
Page_6_tutorial_Question_Intersection_0_positive relation_radio,6
