name,value
mTurkID, p116
subID,123
drive_name,3201
drive_index,2
time_date,Fri Feb 10 2023 17:29:18 GMT-0800 (Pacific Standard Time)
Page_15_SurveyPage_Question1_radio,Orange
Page_15_SurveyPage_Question2_text,scooter
Page_15_SurveyPage_Question3_radio,46-55
Page_15_SurveyPage_Question4_radio,Female
Page_15_SurveyPage_Question5_radio,Other
Page_15_SurveyPage_Question5_text,captioner
Page_15_SurveyPage_Question6_radio,Master's_degree (e.g. MA; MS; MEd)
Page_15_SurveyPage_Question7_radio,1
Page_15_SurveyPage_Question8_radio,1
Page_15_SurveyPage_Question9_radio,1
Page_15_SurveyPage_Question10_radio,2
Page_15_SurveyPage_Question11_checkbox,1
Page_15_SurveyPage_Question12_radio,4
Page_15_SurveyPage_Question13_checkbox,none
Page_15_SurveyPage_Question15_textarea,none
Page_15_SurveyPage_Question16_radio,Yes
