sys_timestamp,event_timestamp,event_name,pause_num
1676508174172,770401.8000001907,web_survey/CommitmentCheck_completed,7
1676508735702,1331932.4000000954,mainexperimentintro_done,7
1676508735704,1331932.4000000954,[object PointerEvent],0
1676508760995,1357225,video_preload_completed,0
1676508786300,1382525.700000286,survey1_start,1
1676508872658,1468887,survey1_done,1
1676508898184,1494412.8000001907,intention_start,2
1676508912850,1509080.5,intention_done,2
1676508931699,1527928.700000286,survey2_start,3
1676508991166,1587396.5999999046,survey2_done,3
